Codigo;Tipologia;Curso;Anio;Matriculados;Asignatura;Tasa_Rendimiento;Tasa_Exito
139261015;FORMACIÓN BÁSICA;1;2020-21;145;ORGANIZACIONES EMPRESARIALES;89.0;93.5
139261015;FORMACIÓN BÁSICA;1;2024-25;139;ORGANIZACIONES EMPRESARIALES;97.8;100.0
139261015;FORMACIÓN BÁSICA;1;2010-11;305;ORGANIZACIONES EMPRESARIALES;50.2;57.7
139261021;OBLIGATORIA;1;2011-12;175;ALGORITMOS Y ESTRUCTURAS DE DATOS;36.6;71.1
139261021;OBLIGATORIA;1;2019-20;211;ALGORITMOS Y ESTRUCTURAS DE DATOS;57.8;79.7
139261021;OBLIGATORIA;1;2021-22;235;ALGORITMOS Y ESTRUCTURAS DE DATOS;52.3;86.6
139261021;OBLIGATORIA;1;2023-24;232;ALGORITMOS Y ESTRUCTURAS DE DATOS;36.2;58.3
139261021;OBLIGATORIA;1;2017-18;256;ALGORITMOS Y ESTRUCTURAS DE DATOS;27.7;75.5
139261021;OBLIGATORIA;1;2018-19;283;ALGORITMOS Y ESTRUCTURAS DE DATOS;59.4;93.9
139261021;OBLIGATORIA;1;2012-13;160;ALGORITMOS Y ESTRUCTURAS DE DATOS;24.4;68.4
139261021;OBLIGATORIA;1;2013-14;224;ALGORITMOS Y ESTRUCTURAS DE DATOS;23.2;67.5
139261021;OBLIGATORIA;1;2014-15;290;ALGORITMOS Y ESTRUCTURAS DE DATOS;37.6;71.7
139261021;OBLIGATORIA;1;2015-16;267;ALGORITMOS Y ESTRUCTURAS DE DATOS;34.1;68.4
139261021;OBLIGATORIA;1;2022-23;219;ALGORITMOS Y ESTRUCTURAS DE DATOS;46.6;72.3
139261021;OBLIGATORIA;1;2016-17;234;ALGORITMOS Y ESTRUCTURAS DE DATOS;31.6;83.1
139261021;OBLIGATORIA;1;2020-21;205;ALGORITMOS Y ESTRUCTURAS DE DATOS;35.6;73.7
139261021;OBLIGATORIA;1;2024-25;252;ALGORITMOS Y ESTRUCTURAS DE DATOS;46.8;69.0
139261021;OBLIGATORIA;1;2010-11;228;ALGORITMOS Y ESTRUCTURAS DE DATOS;27.2;66.0
139261022;FORMACIÓN BÁSICA;1;2011-12;164;PRINCIPIOS DE COMPUTADORES;48.8;78.4
139261022;FORMACIÓN BÁSICA;1;2019-20;214;PRINCIPIOS DE COMPUTADORES;60.3;80.1
139261022;FORMACIÓN BÁSICA;1;2021-22;215;PRINCIPIOS DE COMPUTADORES;53.0;82.6
139261022;FORMACIÓN BÁSICA;1;2023-24;215;PRINCIPIOS DE COMPUTADORES;50.2;79.4
139261022;FORMACIÓN BÁSICA;1;2017-18;209;PRINCIPIOS DE COMPUTADORES;44.0;71.3
139261022;FORMACIÓN BÁSICA;1;2018-19;213;PRINCIPIOS DE COMPUTADORES;48.4;75.7
139261022;FORMACIÓN BÁSICA;1;2012-13;134;PRINCIPIOS DE COMPUTADORES;48.5;75.6
139261022;FORMACIÓN BÁSICA;1;2013-14;193;PRINCIPIOS DE COMPUTADORES;41.5;72.7
139261022;FORMACIÓN BÁSICA;1;2014-15;220;PRINCIPIOS DE COMPUTADORES;58.6;87.2
139261022;FORMACIÓN BÁSICA;1;2015-16;188;PRINCIPIOS DE COMPUTADORES;39.9;70.8
139261022;FORMACIÓN BÁSICA;1;2022-23;208;PRINCIPIOS DE COMPUTADORES;49.0;73.4
139261022;FORMACIÓN BÁSICA;1;2016-17;181;PRINCIPIOS DE COMPUTADORES;43.6;71.2
139261022;FORMACIÓN BÁSICA;1;2020-21;197;PRINCIPIOS DE COMPUTADORES;46.2;82.0
139261022;FORMACIÓN BÁSICA;1;2024-25;215;PRINCIPIOS DE COMPUTADORES;55.8;79.5
139261022;FORMACIÓN BÁSICA;1;2010-11;295;PRINCIPIOS DE COMPUTADORES;54.2;80.0
139261023;FORMACIÓN BÁSICA;1;2011-12;242;OPTIMIZACIÓN;36.4;64.2
139261023;FORMACIÓN BÁSICA;1;2019-20;219;OPTIMIZACIÓN;60.7;94.3
139261023;FORMACIÓN BÁSICA;1;2021-22;225;OPTIMIZACIÓN;45.8;73.0
139261023;FORMACIÓN BÁSICA;1;2023-24;206;OPTIMIZACIÓN;53.4;82.1
139261023;FORMACIÓN BÁSICA;1;2017-18;232;OPTIMIZACIÓN;37.9;66.2
139261023;FORMACIÓN BÁSICA;1;2018-19;253;OPTIMIZACIÓN;50.2;79.4
139261023;FORMACIÓN BÁSICA;1;2012-13;197;OPTIMIZACIÓN;35.0;67.0
139261023;FORMACIÓN BÁSICA;1;2013-14;260;OPTIMIZACIÓN;48.1;73.1
139261023;FORMACIÓN BÁSICA;1;2014-15;271;OPTIMIZACIÓN;42.1;67.9
139261023;FORMACIÓN BÁSICA;1;2015-16;243;OPTIMIZACIÓN;34.2;64.3
139261023;FORMACIÓN BÁSICA;1;2022-23;226;OPTIMIZACIÓN;59.7;82.3
139261023;FORMACIÓN BÁSICA;1;2016-17;226;OPTIMIZACIÓN;45.1;81.0
139261023;FORMACIÓN BÁSICA;1;2020-21;204;OPTIMIZACIÓN;46.6;81.9
139261023;FORMACIÓN BÁSICA;1;2024-25;213;OPTIMIZACIÓN;58.2;83.2
139261023;FORMACIÓN BÁSICA;1;2010-11;290;OPTIMIZACIÓN;31.0;74.4
139261024;FORMACIÓN BÁSICA;1;2011-12;179;SISTEMAS ELECTRÓNICOS DIGITALES;48.6;67.4
139261024;FORMACIÓN BÁSICA;1;2019-20;240;SISTEMAS ELECTRÓNICOS DIGITALES;67.1;88.0
139261024;FORMACIÓN BÁSICA;1;2021-22;226;SISTEMAS ELECTRÓNICOS DIGITALES;54.4;75.0
139261024;FORMACIÓN BÁSICA;1;2023-24;199;SISTEMAS ELECTRÓNICOS DIGITALES;52.8;75.5
139261024;FORMACIÓN BÁSICA;1;2017-18;253;SISTEMAS ELECTRÓNICOS DIGITALES;33.2;62.7
139261024;FORMACIÓN BÁSICA;1;2018-19;263;SISTEMAS ELECTRÓNICOS DIGITALES;42.6;74.7
139261024;FORMACIÓN BÁSICA;1;2012-13;131;SISTEMAS ELECTRÓNICOS DIGITALES;45.0;65.6
139261024;FORMACIÓN BÁSICA;1;2013-14;199;SISTEMAS ELECTRÓNICOS DIGITALES;40.7;57.0
139261024;FORMACIÓN BÁSICA;1;2014-15;236;SISTEMAS ELECTRÓNICOS DIGITALES;42.4;64.1
